sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,83.69,Central,79.28,Others,Commerce,91,Comm&Mgmt,No,90.68,Mkt&Fin,77.89,Placed,258667
215,F,52.16,Others,62.26,Others,Commerce,66.61,Comm&Mgmt,No,89.3,Mkt&HR,68.46,Placed,282071
89,M,84.95,Others,65.53,Others,Commerce,65.8,Sci&Tech,Yes,98,Mkt&Fin,66.88,Placed,270521
131,M,72.26,Central,37,Central,Science,59.46,Comm&Mgmt,Yes,58.87,Mkt&HR,62.82,Not Placed,
153,M,78.79,Central,67.36,Central,Commerce,73.51,Comm&Mgmt,No,87.36,Mkt&Fin,69.88,Placed,
1,F,45.83,Central,39.01,Others,Commerce,86.39,Comm&Mgmt,No,67.4,Mkt&HR,57.28,Placed,
1,M,63.14,Others,53.24,Others,Commerce,86.66,Comm&Mgmt,No,98,Mkt&Fin,77.89,Placed,304923
87,F,89.4,Others,45.48,Others,Science,87.8,Comm&Mgmt,No,50,Mkt&Fin,77.53,Placed,204254
186,F,87.61,Others,60.38,Central,Commerce,60.34,Comm&Mgmt,Yes,55.94,Mkt&Fin,72.76,Placed,344326
148,M,57.16,Central,46.16,Others,Commerce,50.1,Others,No,70.99,Mkt&Fin,52.19,Placed,200000
215,F,85.97,Central,52.33,Central,Commerce,58.55,Comm&Mgmt,No,54.93,Mkt&Fin,63.43,Placed,237504
10,F,77.85,Others,39.6,Others,Commerce,85.72,Comm&Mgmt,Yes,73.4,Mkt&Fin,55.35,Placed,200000
215,M,89.4,Others,40.93,Central,Arts,86.5,Comm&Mgmt,No,68.43,Mkt&Fin,77.89,Not Placed,435265
9,F,41.89,Others,51.69,Others,Commerce,51.68,Comm&Mgmt,No,58.71,Mkt&Fin,51.21,Placed,
133,M,89.4,Central,52.87,Others,Commerce,68.15,Comm&Mgmt,No,90.9,Mkt&Fin,53.71,Placed,252571
45,M,80.32,Others,58.91,Others,Commerce,90.87,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,200000
154,M,60.85,Central,53.68,Others,Science,76.42,Comm&Mgmt,No,52.26,Mkt&Fin,72.83,Not Placed,
83,M,85.7,Central,61.59,Others,Science,80.11,Comm&Mgmt,Yes,68.18,Mkt&HR,57.75,Not Placed,
175,M,64.28,Others,73.48,Central,Arts,84.75,Comm&Mgmt,Yes,51.11,Mkt&Fin,77.89,Placed,277717
187,M,80.93,Others,54.39,Central,Science,80.36,Comm&Mgmt,No,62.06,Mkt&Fin,68.33,Placed,232074
215,F,86.15,Central,60.4,Central,Commerce,68.44,Comm&Mgmt,Yes,98,Mkt&Fin,77.89,Placed,276904
198,M,89.4,Others,60.64,Others,Commerce,86.86,Comm&Mgmt,Yes,50,Mkt&Fin,77.89,Placed,200000
49,F,55.17,Others,58.51,Others,Arts,67.35,Comm&Mgmt,No,60.32,Mkt&HR,62.21,Not Placed,303557
118,M,66.34,Others,63.54,Central,Commerce,77.41,Comm&Mgmt,No,50,Mkt&Fin,63.88,Placed,
90,M,57.22,Central,60.94,Others,Commerce,72.78,Others,No,73.99,Mkt&HR,73.01,Not Placed,483059
106,M,59.9,Central,57.13,Others,Commerce,86.59,Sci&Tech,No,59.37,Mkt&Fin,76.2,Not Placed,264138
156,M,68.26,Others,42.38,Central,Science,61.06,Comm&Mgmt,No,50,Mkt&Fin,51.65,Placed,217101
215,M,89.4,Others,60.56,Central,Commerce,72.99,Comm&Mgmt,Yes,55.83,Mkt&Fin,59.52,Placed,200000
77,M,70.64,Central,68.98,Others,Commerce,89.42,Sci&Tech,No,73.82,Mkt&Fin,62.99,Placed,394190
187,F,89.4,Others,49.71,Others,Science,72.64,Comm&Mgmt,No,52.97,Mkt&Fin,55.38,Placed,
50,M,83,Central,61.17,Others,Science,91,Comm&Mgmt,No,98,Mkt&Fin,62.04,Placed,200000
182,M,65.93,Central,42.78,Others,Science,86.56,Comm&Mgmt,No,50,Mkt&Fin,68.65,Placed,286825
174,F,87.78,Others,68.46,Others,Arts,85.54,Comm&Mgmt,Yes,83.96,Mkt&Fin,52.35,Placed,200000
176,M,86.92,Central,37,Others,Commerce,77.53,Comm&Mgmt,No,50,Mkt&Fin,62.44,Placed,236825
178,M,77.27,Central,68,Others,Commerce,78.95,Comm&Mgmt,No,74.37,Mkt&HR,68.42,Placed,279817
215,M,89.03,Central,56.39,Others,Science,78.98,Comm&Mgmt,Yes,61.51,Mkt&Fin,71.41,Placed,231048
9,F,54.46,Central,62.41,Others,Commerce,91,Comm&Mgmt,No,50.86,Mkt&Fin,61.73,Placed,
215,M,72.26,Central,39.53,Central,Commerce,84.61,Comm&Mgmt,No,55.17,Mkt&Fin,65.48,Placed,
131,M,89.4,Central,63.81,Others,Commerce,88.42,Comm&Mgmt,No,50,Mkt&Fin,55.78,Placed,200000
168,M,89.4,Others,77.24,Others,Commerce,78.45,Comm&Mgmt,No,55.62,Mkt&Fin,61.91,Placed,200000
87,F,89.4,Central,77.23,Central,Science,91,Comm&Mgmt,Yes,98,Mkt&Fin,77.89,Not Placed,200000
134,F,58.29,Central,37,Others,Science,50,Comm&Mgmt,Yes,86.27,Mkt&Fin,51.21,Placed,
215,F,89.4,Others,72.23,Others,Commerce,72.38,Comm&Mgmt,No,60.34,Mkt&Fin,62.84,Placed,300133
83,M,40.89,Central,37,Central,Science,76.2,Comm&Mgmt,No,70,Mkt&Fin,51.26,Placed,
167,M,75.45,Central,57.76,Others,Commerce,56.85,Comm&Mgmt,No,98,Mkt&Fin,54.28,Not Placed,258635
1,M,54.45,Others,55.93,Central,Commerce,91,Comm&Mgmt,No,50,Mkt&HR,56.65,Placed,271765
215,M,87.66,Others,39.37,Central,Commerce,65.23,Comm&Mgmt,Yes,54.76,Mkt&Fin,63.34,Placed,
55,M,89.4,Central,73.23,Others,Commerce,53.86,Comm&Mgmt,No,81.24,Mkt&Fin,67.64,Placed,249910
79,M,61.06,Central,74.8,Others,Commerce,83.88,Comm&Mgmt,No,85.92,Mkt&Fin,51.47,Placed,
63,M,81.62,Others,37,Others,Commerce,60.75,Comm&Mgmt,No,86.89,Mkt&HR,61.48,Not Placed,
179,F,75.36,Central,68.55,Others,Science,82.03,Sci&Tech,Yes,67.28,Mkt&Fin,66.42,Not Placed,
150,M,89.4,Central,61.87,Central,Science,91,Comm&Mgmt,No,52.9,Mkt&HR,68.37,Placed,200000
115,M,79.16,Central,37.91,Others,Commerce,81.18,Comm&Mgmt,No,50,Mkt&Fin,57.78,Not Placed,200000
161,F,81.92,Central,49.1,Others,Commerce,62.57,Comm&Mgmt,No,82.37,Mkt&Fin,64.82,Placed,
140,M,83.51,Central,84,Others,Commerce,81.44,Comm&Mgmt,No,97.96,Mkt&HR,67.26,Placed,269646
148,M,88.89,Others,54.84,Others,Science,87.86,Sci&Tech,Yes,50,Mkt&Fin,76.7,Placed,
1,M,85.09,Others,41.4,Others,Commerce,62.16,Comm&Mgmt,No,82.85,Mkt&Fin,57.78,Placed,207061
215,M,67.48,Central,55.28,Central,Commerce,50,Comm&Mgmt,No,50,Mkt&HR,51.21,Placed,229788
131,M,77.31,Others,45.65,Others,Commerce,73.01,Sci&Tech,Yes,59.02,Mkt&Fin,60.51,Placed,260831
69,F,89.4,Central,67.09,Others,Commerce,81.09,Comm&Mgmt,No,83.09,Mkt&Fin,74.15,Placed,208742
79,M,51.04,Central,87.82,Others,Commerce,88.34,Comm&Mgmt,Yes,63.17,Mkt&Fin,67.76,Not Placed,
159,M,88.07,Others,47.47,Others,Commerce,83.61,Comm&Mgmt,No,59.57,Mkt&HR,63.32,Placed,281729
132,F,88.56,Central,58.61,Others,Commerce,74.2,Sci&Tech,Yes,52.55,Mkt&Fin,77.89,Placed,284156
215,M,81.29,Others,54.57,Central,Commerce,66.09,Comm&Mgmt,No,62.34,Mkt&HR,51.21,Not Placed,
143,M,89.4,Central,69.47,Central,Science,85.37,Sci&Tech,Yes,65.46,Mkt&HR,69.82,Placed,
190,F,79.21,Central,47.85,Others,Science,54.14,Comm&Mgmt,No,66.31,Mkt&Fin,51.21,Placed,
44,F,89.4,Central,62.59,Others,Commerce,84.78,Comm&Mgmt,No,69.37,Mkt&Fin,60.41,Placed,200000
31,M,84.16,Central,59.99,Others,Commerce,84.36,Comm&Mgmt,No,50.81,Mkt&HR,67.35,Placed,
148,M,71.89,Central,57.3,Others,Science,50,Others,No,96.68,Mkt&HR,51.21,Placed,200000
41,M,89.4,Central,54.8,Others,Commerce,80.08,Comm&Mgmt,No,75.58,Mkt&HR,71.99,Not Placed,287318
134,M,77.97,Central,61.06,Central,Science,75.98,Comm&Mgmt,No,92.97,Mkt&Fin,63.02,Not Placed,200000
159,F,89.4,Central,61.72,Others,Science,84.04,Comm&Mgmt,No,68.71,Mkt&Fin,54.89,Placed,200000
192,F,84.9,Central,63.5,Others,Commerce,88.89,Comm&Mgmt,No,50,Mkt&Fin,63.89,Placed,200000
157,F,80.83,Central,71.47,Others,Commerce,91,Comm&Mgmt,No,67.92,Mkt&Fin,59.37,Placed,
192,F,89.4,Central,66.76,Others,Commerce,70.54,Comm&Mgmt,No,98,Mkt&Fin,76.11,Placed,200000
56,M,61.63,Central,50.8,Central,Arts,60.39,Comm&Mgmt,No,70.94,Mkt&Fin,57.41,Not Placed,
48,F,66.89,Central,58.69,Others,Commerce,83.14,Comm&Mgmt,No,98,Mkt&Fin,51.91,Not Placed,267553
136,M,89.4,Others,58.79,Central,Commerce,64.71,Comm&Mgmt,No,59.07,Mkt&Fin,68.45,Placed,230049
215,M,76.68,Central,46.49,Others,Commerce,71.86,Comm&Mgmt,No,59.31,Mkt&Fin,55.61,Placed,
93,M,56.64,Others,70.24,Central,Commerce,73.47,Comm&Mgmt,No,94.18,Mkt&Fin,55.91,Not Placed,
157,M,79.09,Central,56.5,Others,Commerce,91,Comm&Mgmt,No,65.58,Mkt&Fin,77.89,Placed,307031
179,M,54.72,Central,54.44,Others,Arts,50,Comm&Mgmt,No,59.29,Mkt&Fin,51.21,Placed,277407
57,F,82.81,Others,56.65,Others,Commerce,70.1,Comm&Mgmt,No,50,Mkt&HR,72.96,Placed,278957
215,F,54.13,Others,37,Others,Commerce,77.64,Others,No,50,Mkt&Fin,51.21,Placed,225863
113,F,61.38,Central,49.53,Others,Science,73.26,Comm&Mgmt,No,72.02,Mkt&HR,66.94,Placed,
163,M,89.4,Others,43.7,Others,Science,63.98,Comm&Mgmt,No,77.58,Mkt&Fin,58.4,Placed,200000
74,M,67.44,Central,64.14,Others,Commerce,90.03,Comm&Mgmt,No,50,Mkt&Fin,56.4,Placed,
1,M,40.89,Central,52.22,Others,Science,50,Comm&Mgmt,No,51.4,Mkt&Fin,51.21,Not Placed,200000
143,M,78.16,Others,68.5,Others,Commerce,55.87,Sci&Tech,No,75.38,Mkt&Fin,64.38,Not Placed,279362
105,M,82.8,Others,62.77,Others,Commerce,76.01,Comm&Mgmt,No,76.68,Mkt&Fin,73.28,Placed,200000
176,F,83.17,Others,37,Others,Science,50,Comm&Mgmt,Yes,52.61,Mkt&Fin,74.92,Not Placed,305006
154,F,71.81,Others,39.39,Central,Commerce,55.34,Comm&Mgmt,Yes,58.75,Mkt&Fin,69.56,Placed,284791
92,M,89.4,Central,47.7,Others,Commerce,83.33,Comm&Mgmt,No,63.97,Mkt&Fin,55.74,Placed,222277
118,M,89.4,Central,53.23,Central,Science,73.5,Comm&Mgmt,Yes,64.49,Mkt&Fin,51.21,Placed,200000
17,F,75.89,Central,40.09,Others,Commerce,68.47,Comm&Mgmt,No,74.31,Mkt&Fin,67.36,Placed,337586
152,F,72.45,Central,45.91,Others,Commerce,67.98,Sci&Tech,No,90.78,Mkt&Fin,63.7,Placed,214254
194,M,78.76,Others,62.79,Others,Commerce,85.88,Comm&Mgmt,No,50,Mkt&HR,70.06,Placed,213364
110,M,50.91,Central,62.36,Others,Commerce,77.02,Comm&Mgmt,No,53.91,Mkt&Fin,57.17,Placed,203827
153,M,72.79,Central,53.08,Others,Science,61.66,Comm&Mgmt,No,63.57,Mkt&Fin,51.21,Not Placed,
118,M,67.47,Central,51.64,Others,Commerce,82.8,Sci&Tech,No,50,Mkt&Fin,56.94,Placed,
82,M,40.89,Others,37,Others,Science,91,Comm&Mgmt,No,71.39,Mkt&Fin,55.02,Placed,
151,F,41.75,Others,37,Others,Arts,64.19,Comm&Mgmt,No,50,Mkt&HR,51.21,Placed,
57,M,67.71,Others,81.27,Others,Science,68.5,Comm&Mgmt,Yes,81.67,Mkt&Fin,55.66,Placed,200000
1,F,89.4,Central,83.31,Central,Commerce,90.67,Comm&Mgmt,No,53.44,Mkt&Fin,57.21,Placed,204976
109,M,71.81,Others,64.23,Central,Arts,87.07,Comm&Mgmt,Yes,52.94,Mkt&Fin,51.21,Placed,237070
135,M,88.43,Central,58.79,Central,Commerce,50,Comm&Mgmt,No,89.08,Mkt&HR,57.91,Placed,
79,M,89.4,Others,89.26,Others,Commerce,86.87,Sci&Tech,No,73.85,Mkt&Fin,72.05,Placed,277934
50,M,76.43,Others,48.33,Others,Commerce,76.49,Comm&Mgmt,No,58.75,Mkt&Fin,54.22,Placed,269176
118,F,80.82,Central,51.64,Others,Science,60.79,Comm&Mgmt,No,55.81,Mkt&Fin,62.98,Not Placed,205221
74,M,78.87,Others,53.64,Others,Commerce,91,Comm&Mgmt,Yes,76.88,Mkt&Fin,66.34,Placed,225263
149,M,78.37,Central,37,Central,Commerce,60.21,Comm&Mgmt,No,50,Mkt&Fin,64.66,Not Placed,267373
215,M,81.63,Central,37,Central,Commerce,51.9,Comm&Mgmt,No,50,Mkt&HR,51.21,Not Placed,
114,F,76.89,Others,37,Central,Commerce,55.08,Comm&Mgmt,Yes,57.3,Mkt&Fin,59.88,Not Placed,
97,M,61.8,Others,37,Central,Science,69.89,Comm&Mgmt,No,67.32,Mkt&HR,58.99,Placed,423484
157,M,89.4,Others,62.58,Others,Commerce,79.67,Comm&Mgmt,No,56.35,Mkt&Fin,77.89,Placed,253689
76,M,89.4,Others,58.24,Central,Commerce,90.99,Comm&Mgmt,No,79.08,Mkt&Fin,77.89,Placed,259597
215,M,55.9,Others,59.14,Others,Science,58.57,Sci&Tech,No,83.48,Mkt&HR,66.68,Placed,278441
100,M,76.56,Central,45.96,Central,Commerce,91,Comm&Mgmt,Yes,50.87,Mkt&HR,61.99,Not Placed,
174,M,62.59,Central,48.47,Others,Commerce,59.58,Comm&Mgmt,No,50,Mkt&Fin,51.21,Not Placed,
87,M,82.6,Central,57.32,Others,Science,83.21,Comm&Mgmt,No,57.44,Mkt&Fin,73.12,Placed,200000
62,M,52.76,Others,53.86,Others,Commerce,87.38,Comm&Mgmt,No,64.91,Mkt&Fin,51.21,Placed,
94,M,54.4,Others,37,Others,Science,50,Sci&Tech,No,60.93,Mkt&Fin,51.21,Not Placed,
172,F,88.39,Others,62.31,Central,Science,86.8,Comm&Mgmt,No,60.23,Mkt&HR,62.74,Not Placed,
1,M,61.42,Central,71.52,Others,Commerce,80.59,Comm&Mgmt,No,98,Mkt&HR,56.24,Not Placed,
199,M,84.22,Central,57.14,Central,Commerce,75,Sci&Tech,No,50,Mkt&Fin,55.36,Placed,274616
153,F,73.27,Others,57.83,Central,Science,85.85,Comm&Mgmt,No,80.77,Mkt&HR,53.2,Placed,217191
162,M,84.41,Central,54.85,Central,Science,50.41,Comm&Mgmt,No,55.44,Mkt&Fin,73.03,Placed,214983
80,M,75.12,Others,37,Others,Commerce,67.67,Comm&Mgmt,Yes,66.45,Mkt&HR,55.31,Placed,200000
124,F,79.62,Central,41.29,Others,Commerce,61.03,Sci&Tech,No,79.18,Mkt&Fin,58.48,Placed,205009
41,M,66.99,Central,64,Central,Science,86.6,Comm&Mgmt,No,50,Mkt&HR,67.08,Placed,235856
128,F,55.65,Central,37,Central,Commerce,56.56,Comm&Mgmt,No,54.54,Mkt&Fin,59.16,Placed,309153
1,F,89.27,Others,48.17,Others,Commerce,82.28,Comm&Mgmt,No,78.73,Mkt&HR,65.16,Not Placed,213107
179,F,68.9,Others,56,Others,Science,75.7,Comm&Mgmt,No,54.66,Mkt&Fin,55.22,Placed,204057
162,M,63.74,Others,37,Central,Commerce,71.29,Comm&Mgmt,No,50,Mkt&Fin,74.62,Not Placed,286730
70,M,83.62,Central,53.36,Central,Commerce,91,Comm&Mgmt,No,56.73,Mkt&Fin,56.03,Placed,
84,M,57.93,Others,55.02,Others,Commerce,80.16,Comm&Mgmt,No,64.79,Mkt&Fin,77.89,Placed,300343
179,M,89.4,Central,65.61,Others,Commerce,90.04,Comm&Mgmt,Yes,98,Mkt&Fin,70.04,Placed,265134
165,M,89.4,Central,53.75,Others,Commerce,75.23,Comm&Mgmt,No,82.07,Mkt&HR,77.89,Not Placed,259049
120,F,71.56,Central,58.52,Others,Commerce,50,Comm&Mgmt,No,51.77,Mkt&Fin,64.68,Placed,446134
139,M,79.37,Central,56.29,Others,Commerce,76.49,Comm&Mgmt,No,69.02,Mkt&Fin,57.9,Placed,200000
134,M,60.17,Central,57.6,Central,Commerce,63.25,Sci&Tech,Yes,72.93,Mkt&HR,61.01,Not Placed,288418
177,M,78.52,Central,38.25,Central,Commerce,66.89,Others,Yes,50,Mkt&Fin,66.32,Not Placed,275425
142,M,72.84,Central,56.29,Others,Commerce,84.33,Comm&Mgmt,Yes,90.18,Mkt&Fin,67.32,Placed,248787
162,F,85.2,Others,44.11,Others,Commerce,74.85,Comm&Mgmt,No,50.1,Mkt&Fin,73.71,Placed,
215,M,79.23,Central,55.26,Others,Commerce,74.22,Sci&Tech,Yes,53.64,Mkt&Fin,51.21,Placed,248347
88,F,79.61,Central,37.59,Others,Commerce,66.77,Comm&Mgmt,No,75.13,Mkt&Fin,67.97,Not Placed,285187
29,M,68.29,Central,46.09,Others,Commerce,74.22,Comm&Mgmt,No,52.89,Mkt&Fin,53.31,Not Placed,
103,M,74.76,Others,65.24,Others,Commerce,72.03,Comm&Mgmt,No,55.91,Mkt&Fin,53.53,Placed,
124,M,55.59,Others,61.68,Central,Commerce,91,Comm&Mgmt,No,50,Mkt&HR,62.7,Placed,308321
200,M,57.09,Central,42.54,Others,Commerce,73.39,Comm&Mgmt,No,50,Mkt&HR,52.73,Placed,
165,M,62.47,Central,37,Others,Commerce,50.94,Comm&Mgmt,Yes,77.76,Mkt&Fin,65.98,Placed,
101,M,78.22,Central,59.29,Others,Commerce,76.59,Comm&Mgmt,No,61.44,Mkt&Fin,56.33,Placed,200000
87,M,82.29,Others,61.1,Others,Commerce,58.27,Comm&Mgmt,No,68.81,Mkt&Fin,63.61,Placed,211701
174,M,58.68,Others,41.13,Central,Commerce,66.61,Sci&Tech,No,72.3,Mkt&Fin,54.67,Not Placed,
170,M,70.08,Central,86.62,Central,Science,81.13,Comm&Mgmt,No,61.88,Mkt&HR,60.67,Placed,223888
163,M,70.81,Central,37,Others,Commerce,68.53,Comm&Mgmt,No,50.75,Mkt&Fin,64.73,Placed,543783
152,M,89.4,Central,60.04,Others,Commerce,71.72,Comm&Mgmt,No,64.86,Mkt&Fin,64.47,Placed,214632
160,F,60.97,Others,45.33,Others,Science,66.27,Comm&Mgmt,No,97.63,Mkt&Fin,51.21,Not Placed,
68,M,74.96,Central,70.35,Others,Arts,91,Comm&Mgmt,Yes,76.33,Mkt&Fin,60.29,Placed,225152
208,M,66.56,Others,50.32,Central,Commerce,81.79,Sci&Tech,No,74.6,Mkt&HR,57.14,Placed,278079
154,F,71,Others,66.82,Others,Commerce,58.91,Sci&Tech,Yes,71.33,Mkt&Fin,64.71,Placed,408852
147,M,80.51,Others,57.56,Central,Science,84.37,Comm&Mgmt,No,50,Mkt&Fin,54.91,Placed,254437
1,M,71,Others,43.71,Others,Commerce,60.25,Comm&Mgmt,No,78.33,Mkt&Fin,52.14,Not Placed,501054
81,F,82.95,Central,66.21,Others,Commerce,91,Comm&Mgmt,No,59.62,Mkt&Fin,60.79,Not Placed,208662
133,F,57.34,Central,72.17,Central,Commerce,91,Comm&Mgmt,No,57.42,Mkt&Fin,77.89,Not Placed,304058
118,M,82.77,Central,69.64,Central,Commerce,76.17,Comm&Mgmt,No,50,Mkt&Fin,57.3,Placed,247066
1,M,71.18,Central,38.16,Others,Commerce,87.2,Comm&Mgmt,No,67.68,Mkt&Fin,53.74,Placed,628982
91,M,89.4,Others,37,Central,Commerce,60.81,Comm&Mgmt,No,50,Mkt&Fin,56.79,Not Placed,
215,M,85.89,Central,67,Others,Science,75.76,Comm&Mgmt,Yes,93.89,Mkt&Fin,66.38,Placed,207906
215,F,75.26,Central,40.18,Others,Science,60.62,Comm&Mgmt,Yes,71.32,Mkt&Fin,51.21,Not Placed,288016
133,M,42.84,Others,50.34,Others,Commerce,73.3,Comm&Mgmt,No,50,Mkt&Fin,63.05,Not Placed,
88,F,70.65,Others,48.02,Central,Science,61.01,Sci&Tech,No,81.32,Mkt&Fin,61.68,Placed,359562
215,M,86.55,Others,43.33,Others,Commerce,77.22,Comm&Mgmt,Yes,93.74,Mkt&HR,57.22,Placed,
120,F,55.46,Central,67.65,Central,Commerce,77.64,Comm&Mgmt,Yes,69.54,Mkt&Fin,64.94,Placed,
192,M,80.13,Others,53.79,Central,Commerce,54.97,Comm&Mgmt,Yes,52.27,Mkt&Fin,64.95,Placed,300639
207,F,89.4,Central,64.03,Central,Commerce,50,Comm&Mgmt,No,71.53,Mkt&Fin,51.21,Placed,
158,F,86.83,Central,40.32,Others,Science,62.5,Comm&Mgmt,No,50,Mkt&Fin,72.57,Not Placed,
23,M,86.31,Others,67.25,Others,Commerce,77.45,Comm&Mgmt,No,62.03,Mkt&Fin,64.48,Not Placed,200000
121,M,82.38,Central,57.83,Others,Commerce,74.18,Comm&Mgmt,No,70,Mkt&Fin,51.21,Not Placed,
40,M,43.16,Central,40.91,Others,Science,70.36,Comm&Mgmt,No,51.68,Mkt&Fin,57.67,Placed,
207,F,79.58,Others,82.89,Central,Science,91,Comm&Mgmt,No,69.72,Mkt&Fin,52.13,Placed,256386
141,M,67.89,Others,60.75,Others,Science,58.41,Comm&Mgmt,No,86.53,Mkt&Fin,51.21,Placed,247241
210,F,86.24,Central,63.98,Others,Commerce,71.24,Comm&Mgmt,No,65.89,Mkt&Fin,75.87,Placed,292675
182,F,79.99,Others,61.72,Others,Science,66.42,Comm&Mgmt,No,65.68,Mkt&Fin,51.21,Placed,200000
82,M,89.4,Others,69.31,Others,Arts,71.37,Comm&Mgmt,Yes,79.43,Mkt&HR,70.49,Placed,
134,M,89.4,Others,88.41,Others,Science,91,Sci&Tech,Yes,81.11,Mkt&Fin,55.85,Placed,200000
55,M,89.4,Central,58.53,Others,Commerce,81.57,Comm&Mgmt,No,50,Mkt&Fin,61.76,Not Placed,264023
1,M,73.77,Others,37,Others,Commerce,82.57,Comm&Mgmt,No,51.89,Mkt&Fin,53.51,Placed,
177,F,58.52,Central,54.08,Others,Commerce,72.61,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,200000
141,M,76.96,Central,37,Others,Commerce,72.68,Comm&Mgmt,No,63.36,Mkt&Fin,51.21,Placed,269414
1,M,76.42,Central,62.28,Central,Commerce,78.69,Comm&Mgmt,No,53.8,Mkt&HR,60.98,Placed,284296
155,M,86.75,Others,50.31,Central,Science,62.94,Comm&Mgmt,No,50,Mkt&Fin,72.39,Placed,
98,M,65.98,Central,37,Central,Commerce,50.09,Comm&Mgmt,No,59.4,Mkt&Fin,55.29,Placed,
53,F,89.4,Others,37,Others,Commerce,82.46,Comm&Mgmt,No,50,Mkt&Fin,66.84,Placed,266348
93,F,83.3,Central,56.09,Others,Science,81.34,Comm&Mgmt,No,50,Mkt&Fin,55.71,Not Placed,
150,M,78.38,Central,51.38,Others,Commerce,69.06,Sci&Tech,No,50,Mkt&Fin,53.33,Placed,
215,F,87.02,Central,70.85,Others,Commerce,79.11,Comm&Mgmt,No,98,Mkt&Fin,72.61,Placed,263372
113,F,80.62,Central,48.57,Others,Science,53.3,Comm&Mgmt,No,67.09,Mkt&Fin,51.96,Placed,
174,F,78.14,Central,64.15,Others,Commerce,69.53,Comm&Mgmt,No,57.54,Mkt&Fin,51.21,Not Placed,206911
128,M,62.31,Central,49.81,Central,Commerce,85.38,Comm&Mgmt,Yes,63.84,Mkt&Fin,52.82,Not Placed,210292
181,M,71.34,Central,55.39,Others,Commerce,72.99,Comm&Mgmt,No,58.7,Mkt&HR,64.35,Not Placed,207091
215,M,77.56,Others,37,Central,Commerce,58.36,Sci&Tech,Yes,64.73,Mkt&HR,56.87,Placed,276406
179,M,89.4,Central,70.78,Others,Commerce,80.87,Comm&Mgmt,Yes,50,Mkt&HR,51.47,Placed,200000
215,M,89.4,Central,49.23,Central,Commerce,59.09,Comm&Mgmt,Yes,84.95,Mkt&Fin,51.21,Placed,200000
133,M,89.4,Central,69.4,Others,Commerce,89.78,Comm&Mgmt,No,72.03,Mkt&Fin,51.8,Placed,
108,F,52.63,Central,37,Others,Science,67.72,Comm&Mgmt,No,56.78,Mkt&Fin,51.37,Placed,
155,F,57.68,Others,42.91,Central,Science,71.28,Comm&Mgmt,No,89.22,Mkt&Fin,58.73,Placed,271401
29,M,86.65,Others,59.87,Others,Science,62.74,Comm&Mgmt,No,88.88,Mkt&HR,51.21,Placed,200000
60,M,60.67,Central,41.84,Others,Commerce,72.93,Sci&Tech,Yes,60.91,Mkt&Fin,71.39,Placed,228454
44,M,85.01,Others,39.58,Others,Commerce,91,Comm&Mgmt,No,81.25,Mkt&Fin,67.53,Not Placed,363926
90,F,45.19,Others,37,Central,Commerce,66.77,Comm&Mgmt,Yes,79.91,Mkt&Fin,57.57,Not Placed,
151,M,85.89,Others,81.21,Central,Commerce,73.23,Comm&Mgmt,Yes,58.71,Mkt&HR,66.87,Placed,223817
171,M,82.35,Others,56.93,Others,Science,73.1,Comm&Mgmt,Yes,68.77,Mkt&Fin,56.94,Placed,200000
65,M,52.83,Central,50.85,Others,Commerce,80.43,Comm&Mgmt,No,50,Mkt&Fin,62.66,Not Placed,
67,M,76.78,Central,37,Others,Science,59.59,Comm&Mgmt,No,67.33,Mkt&Fin,54.77,Placed,253920
215,M,89.4,Central,64.58,Others,Commerce,82.43,Sci&Tech,No,69.06,Mkt&Fin,56.5,Not Placed,200000
154,F,70.01,Others,61.84,Others,Science,79.56,Comm&Mgmt,No,61.93,Mkt&Fin,77.89,Placed,337349
137,M,66.6,Others,62.63,Others,Commerce,88.83,Comm&Mgmt,No,73.28,Mkt&Fin,60.23,Placed,250503
215,F,86.07,Others,54.91,Others,Commerce,77.62,Sci&Tech,No,53.62,Mkt&Fin,65.4,Not Placed,
167,M,89.4,Central,37,Central,Commerce,75.27,Comm&Mgmt,Yes,50,Mkt&Fin,64.73,Placed,213387
206,M,58.91,Others,54.95,Others,Commerce,91,Comm&Mgmt,Yes,53.37,Mkt&Fin,53.69,Placed,200000
166,M,47.96,Central,37,Others,Commerce,64.65,Comm&Mgmt,No,64.76,Mkt&Fin,56.82,Placed,
213,F,79.57,Central,37,Others,Arts,77.78,Comm&Mgmt,Yes,50,Mkt&Fin,51.43,Placed,200000
2,F,59.32,Others,39.75,Others,Commerce,71.99,Comm&Mgmt,No,57.02,Mkt&Fin,52.46,Placed,283184
157,F,56.41,Others,52.93,Central,Commerce,76.13,Comm&Mgmt,No,50,Mkt&Fin,69.74,Placed,
138,M,76.5,Central,49.1,Others,Commerce,76.81,Comm&Mgmt,No,54.52,Mkt&Fin,53.68,Placed,625115
145,M,88.39,Central,47.3,Others,Science,85.25,Sci&Tech,Yes,64.98,Mkt&HR,51.21,Placed,247290
129,M,76.26,Central,43.84,Central,Science,79.08,Comm&Mgmt,Yes,72.6,Mkt&HR,62.22,Placed,
